# sweep maxlinkdim walltime
1 9 65.52122378349304
2 10 67.96108889579773
3 32 70.11295080184937
4 32 72.47549295425415
5 64 74.9926187992096
6 64 77.74868583679199
7 128 82.18563389778137
8 128 88.02154588699341
9 256 98.64482188224792
10 256 111.54595899581909
11 384 133.52974486351013
12 384 158.5273358821869
13 512 199.47036600112915
14 512 243.34751391410828
15 768 338.79267597198486
16 768 449.36096692085266
17 1024 658.1839199066162
18 1024 892.2681248188019
19 2048 2449.7199578285217
20 2048 4615.701273918152
